flight_number,date,STD,ATD,destination,aircraft,airline,airline_code,STD_minutes,ATD_minutes,departure_delay,scheduled_hour,day_of_week,is_weekend,delay_category,is_peak_hour,route_type
6E1874,2025-08-17,07:30,07:50,Singapore (SIN),A320,IndiGo,"('6E', 'IndiGo', 0.4)",450,470,20,7,6,True,Minor Delay,True,International
AI5152,2025-08-17,07:30,07:30,Ahmedabad (AMD),B787,Air India,"('AI', 'Air India', 0.3)",450,450,0,7,6,True,Early,True,Domestic
6E1330,2025-08-17,18:15,18:49,Cochin (COK),B738,IndiGo,"('6E', 'IndiGo', 0.4)",1095,1129,34,18,6,True,Major Delay,True,Domestic
SG9450,2025-08-17,15:45,15:45,Dubai (DXB),A321,SpiceJet,"('SG', 'SpiceJet', 0.12)",945,945,0,15,6,True,Early,False,International
6E9716,2025-08-17,09:15,09:24,Cochin (COK),B738,IndiGo,"('6E', 'IndiGo', 0.4)",555,564,9,9,6,True,On Time,True,Domestic
AI1311,2025-08-17,19:30,20:06,Chennai (MAA),B787,Air India,"('AI', 'Air India', 0.3)",1170,1206,36,19,6,True,Major Delay,True,Domestic
AI7781,2025-08-17,18:15,18:49,Ahmedabad (AMD),B737,Air India,"('AI', 'Air India', 0.3)",1095,1129,34,18,6,True,Major Delay,True,Domestic
6E2246,2025-08-17,13:00,13:10,Delhi (DEL),B777,IndiGo,"('6E', 'IndiGo', 0.4)",780,790,10,13,6,True,On Time,False,Domestic
6E9934,2025-08-17,13:15,13:15,Hyderabad (HYD),ATR72,IndiGo,"('6E', 'IndiGo', 0.4)",795,795,0,13,6,True,Early,False,Domestic
6E9099,2025-08-17,13:30,13:37,Delhi (DEL),A350,IndiGo,"('6E', 'IndiGo', 0.4)",810,817,7,13,6,True,On Time,False,Domestic
IX3010,2025-08-17,17:45,18:01,Ahmedabad (AMD),B787,Air India Express,"('IX', 'Air India Express', 0.05)",1065,1081,16,17,6,True,Minor Delay,True,Domestic
6E9254,2025-08-17,23:30,23:47,Chennai (MAA),A320,IndiGo,"('6E', 'IndiGo', 0.4)",1410,1427,17,23,6,True,Minor Delay,False,Domestic
SG4365,2025-08-17,07:30,07:52,Bengaluru (BLR),A320,SpiceJet,"('SG', 'SpiceJet', 0.12)",450,472,22,7,6,True,Minor Delay,True,Domestic
AI1914,2025-08-17,07:00,07:00,Bangkok (BKK),A320,Air India,"('AI', 'Air India', 0.3)",420,420,0,7,6,True,Early,True,International
6E2573,2025-08-17,05:00,05:00,Chennai (MAA),B777,IndiGo,"('6E', 'IndiGo', 0.4)",300,300,0,5,6,True,Early,False,Domestic
6E8153,2025-08-17,10:15,10:33,Jaipur (JAI),A321,IndiGo,"('6E', 'IndiGo', 0.4)",615,633,18,10,6,True,Minor Delay,False,Domestic
UK6474,2025-08-17,20:45,21:18,Bangkok (BKK),B738,Vistara,"('UK', 'Vistara', 0.1)",1245,1278,33,20,6,True,Major Delay,True,International
6E8848,2025-08-17,23:00,23:00,Kolkata (CCU),B777,IndiGo,"('6E', 'IndiGo', 0.4)",1380,1380,0,23,6,True,Early,False,Domestic
6E9569,2025-08-17,12:30,12:54,Kolkata (CCU),B777,IndiGo,"('6E', 'IndiGo', 0.4)",750,774,24,12,6,True,Minor Delay,False,Domestic
AI4633,2025-08-17,22:15,22:34,Delhi (DEL),A321,Air India,"('AI', 'Air India', 0.3)",1335,1354,19,22,6,True,Minor Delay,False,Domestic
AI3256,2025-08-17,13:30,13:45,Bengaluru (BLR),B777,Air India,"('AI', 'Air India', 0.3)",810,825,15,13,6,True,On Time,False,Domestic
6E5939,2025-08-17,20:30,20:51,Hyderabad (HYD),B738,IndiGo,"('6E', 'IndiGo', 0.4)",1230,1251,21,20,6,True,Minor Delay,True,Domestic
AI5003,2025-08-17,05:45,06:08,Ahmedabad (AMD),A321,Air India,"('AI', 'Air India', 0.3)",345,368,23,5,6,True,Minor Delay,False,Domestic
AI7582,2025-08-17,22:15,22:46,Hyderabad (HYD),A320,Air India,"('AI', 'Air India', 0.3)",1335,1366,31,22,6,True,Major Delay,False,Domestic
6E5341,2025-08-17,12:30,12:43,Cochin (COK),B737,IndiGo,"('6E', 'IndiGo', 0.4)",750,763,13,12,6,True,On Time,False,Domestic
6E6984,2025-08-17,11:00,11:16,Cochin (COK),A350,IndiGo,"('6E', 'IndiGo', 0.4)",660,676,16,11,6,True,Minor Delay,False,Domestic
AI7078,2025-08-17,14:15,14:28,Chennai (MAA),B777,Air India,"('AI', 'Air India', 0.3)",855,868,13,14,6,True,On Time,False,Domestic
AI9229,2025-08-17,21:45,22:05,Bangkok (BKK),A350,Air India,"('AI', 'Air India', 0.3)",1305,1325,20,21,6,True,Minor Delay,False,International
IX8087,2025-08-17,07:15,07:15,Chennai (MAA),B787,Air India Express,"('IX', 'Air India Express', 0.05)",435,435,0,7,6,True,Early,True,Domestic
6E9299,2025-08-17,05:00,05:03,Kolkata (CCU),B777,IndiGo,"('6E', 'IndiGo', 0.4)",300,303,3,5,6,True,On Time,False,Domestic
AI8011,2025-08-17,20:15,20:43,Dubai (DXB),B777,Air India,"('AI', 'Air India', 0.3)",1215,1243,28,20,6,True,Minor Delay,True,International
SG5521,2025-08-17,22:00,22:13,Chennai (MAA),B738,SpiceJet,"('SG', 'SpiceJet', 0.12)",1320,1333,13,22,6,True,On Time,False,Domestic
IX9441,2025-08-17,14:00,14:25,Chennai (MAA),B787,Air India Express,"('IX', 'Air India Express', 0.05)",840,865,25,14,6,True,Minor Delay,False,Domestic
SG9945,2025-08-17,12:30,12:45,Goa (GOI),B777,SpiceJet,"('SG', 'SpiceJet', 0.12)",750,765,15,12,6,True,On Time,False,Domestic
AI6240,2025-08-17,21:00,21:00,Delhi (DEL),B737,Air India,"('AI', 'Air India', 0.3)",1260,1260,0,21,6,True,Early,False,Domestic
UK7762,2025-08-17,22:30,22:30,Jaipur (JAI),A321,Vistara,"('UK', 'Vistara', 0.1)",1350,1350,0,22,6,True,Early,False,Domestic
IX6753,2025-08-17,12:45,12:52,Bengaluru (BLR),A321,Air India Express,"('IX', 'Air India Express', 0.05)",765,772,7,12,6,True,On Time,False,Domestic
6E2992,2025-08-17,20:30,21:03,Chennai (MAA),A350,IndiGo,"('6E', 'IndiGo', 0.4)",1230,1263,33,20,6,True,Major Delay,True,Domestic
AI4921,2025-08-17,07:45,08:06,Chennai (MAA),A350,Air India,"('AI', 'Air India', 0.3)",465,486,21,7,6,True,Minor Delay,True,Domestic
6E6890,2025-08-17,14:45,15:09,Jaipur (JAI),B777,IndiGo,"('6E', 'IndiGo', 0.4)",885,909,24,14,6,True,Minor Delay,False,Domestic
AI9863,2025-08-17,10:00,10:06,Delhi (DEL),B737,Air India,"('AI', 'Air India', 0.3)",600,606,6,10,6,True,On Time,False,Domestic
AI5152,2025-08-17,16:00,16:13,Singapore (SIN),ATR72,Air India,"('AI', 'Air India', 0.3)",960,973,13,16,6,True,On Time,False,International
IX8851,2025-08-17,09:45,10:19,Bengaluru (BLR),B787,Air India Express,"('IX', 'Air India Express', 0.05)",585,619,34,9,6,True,Major Delay,True,Domestic
6E2940,2025-08-17,19:45,21:02,Kolkata (CCU),B777,IndiGo,"('6E', 'IndiGo', 0.4)",1185,1262,77,19,6,True,Severe Delay,True,Domestic
SG9930,2025-08-17,10:30,10:42,Delhi (DEL),A320,SpiceJet,"('SG', 'SpiceJet', 0.12)",630,642,12,10,6,True,On Time,False,Domestic
6E3624,2025-08-17,21:45,21:58,Bengaluru (BLR),A321,IndiGo,"('6E', 'IndiGo', 0.4)",1305,1318,13,21,6,True,On Time,False,Domestic
AI7725,2025-08-17,07:15,07:52,Cochin (COK),A320,Air India,"('AI', 'Air India', 0.3)",435,472,37,7,6,True,Major Delay,True,Domestic
AI7194,2025-08-17,10:00,10:22,Bengaluru (BLR),B777,Air India,"('AI', 'Air India', 0.3)",600,622,22,10,6,True,Minor Delay,False,Domestic
SG4976,2025-08-17,18:15,18:41,Bengaluru (BLR),A321,SpiceJet,"('SG', 'SpiceJet', 0.12)",1095,1121,26,18,6,True,Minor Delay,True,Domestic
6E4023,2025-08-17,18:15,18:30,Hyderabad (HYD),B737,IndiGo,"('6E', 'IndiGo', 0.4)",1095,1110,15,18,6,True,On Time,True,Domestic
AI5609,2025-08-17,15:00,15:23,Hyderabad (HYD),A321,Air India,"('AI', 'Air India', 0.3)",900,923,23,15,6,True,Minor Delay,False,Domestic
AI5008,2025-08-17,07:45,08:13,Chennai (MAA),B738,Air India,"('AI', 'Air India', 0.3)",465,493,28,7,6,True,Minor Delay,True,Domestic
AI7065,2025-08-17,11:45,11:54,Chennai (MAA),A321,Air India,"('AI', 'Air India', 0.3)",705,714,9,11,6,True,On Time,False,Domestic
6E1919,2025-08-17,07:15,07:22,Hyderabad (HYD),A320,IndiGo,"('6E', 'IndiGo', 0.4)",435,442,7,7,6,True,On Time,True,Domestic
AI4334,2025-08-17,10:30,10:40,Bengaluru (BLR),B787,Air India,"('AI', 'Air India', 0.3)",630,640,10,10,6,True,On Time,False,Domestic
SG1479,2025-08-17,15:30,15:30,Hyderabad (HYD),B787,SpiceJet,"('SG', 'SpiceJet', 0.12)",930,930,0,15,6,True,Early,False,Domestic
UK3675,2025-08-17,18:15,18:27,Jaipur (JAI),B738,Vistara,"('UK', 'Vistara', 0.1)",1095,1107,12,18,6,True,On Time,True,Domestic
6E5467,2025-08-17,16:30,16:33,Bengaluru (BLR),B777,IndiGo,"('6E', 'IndiGo', 0.4)",990,993,3,16,6,True,On Time,False,Domestic
6E9024,2025-08-17,09:45,10:17,Chennai (MAA),B738,IndiGo,"('6E', 'IndiGo', 0.4)",585,617,32,9,6,True,Major Delay,True,Domestic
UK3175,2025-08-17,17:00,17:25,Jaipur (JAI),B787,Vistara,"('UK', 'Vistara', 0.1)",1020,1045,25,17,6,True,Minor Delay,True,Domestic
6E8125,2025-08-17,06:30,06:52,Chennai (MAA),B777,IndiGo,"('6E', 'IndiGo', 0.4)",390,412,22,6,6,True,Minor Delay,True,Domestic
AI3201,2025-08-17,15:45,15:52,Chennai (MAA),ATR72,Air India,"('AI', 'Air India', 0.3)",945,952,7,15,6,True,On Time,False,Domestic
UK9821,2025-08-17,21:15,21:29,Bengaluru (BLR),B738,Vistara,"('UK', 'Vistara', 0.1)",1275,1289,14,21,6,True,On Time,False,Domestic
AI3166,2025-08-17,06:45,07:18,Delhi (DEL),B777,Air India,"('AI', 'Air India', 0.3)",405,438,33,6,6,True,Major Delay,True,Domestic
6E3072,2025-08-17,21:15,21:25,Jaipur (JAI),B787,IndiGo,"('6E', 'IndiGo', 0.4)",1275,1285,10,21,6,True,On Time,False,Domestic
6E1790,2025-08-17,23:00,23:00,Delhi (DEL),A320,IndiGo,"('6E', 'IndiGo', 0.4)",1380,1380,0,23,6,True,Early,False,Domestic
AI5615,2025-08-17,11:45,11:51,Bengaluru (BLR),B738,Air India,"('AI', 'Air India', 0.3)",705,711,6,11,6,True,On Time,False,Domestic
IX4043,2025-08-17,11:15,11:34,Bengaluru (BLR),A320,Air India Express,"('IX', 'Air India Express', 0.05)",675,694,19,11,6,True,Minor Delay,False,Domestic
6E7764,2025-08-17,10:30,10:34,Pune (PNQ),A350,IndiGo,"('6E', 'IndiGo', 0.4)",630,634,4,10,6,True,On Time,False,Domestic
6E5510,2025-08-17,14:45,14:51,Cochin (COK),B777,IndiGo,"('6E', 'IndiGo', 0.4)",885,891,6,14,6,True,On Time,False,Domestic
6E6451,2025-08-17,07:30,07:52,Delhi (DEL),A321,IndiGo,"('6E', 'IndiGo', 0.4)",450,472,22,7,6,True,Minor Delay,True,Domestic
AI1012,2025-08-17,20:15,20:39,Delhi (DEL),B737,Air India,"('AI', 'Air India', 0.3)",1215,1239,24,20,6,True,Minor Delay,True,Domestic
SG7483,2025-08-17,19:00,19:24,Kolkata (CCU),ATR72,SpiceJet,"('SG', 'SpiceJet', 0.12)",1140,1164,24,19,6,True,Minor Delay,True,Domestic
SG1589,2025-08-17,22:15,22:32,Goa (GOI),B777,SpiceJet,"('SG', 'SpiceJet', 0.12)",1335,1352,17,22,6,True,Minor Delay,False,Domestic
AI9086,2025-08-17,09:00,09:54,Pune (PNQ),B738,Air India,"('AI', 'Air India', 0.3)",540,594,54,9,6,True,Major Delay,True,Domestic
AI6380,2025-08-17,07:30,07:50,Bengaluru (BLR),B787,Air India,"('AI', 'Air India', 0.3)",450,470,20,7,6,True,Minor Delay,True,Domestic
AI1988,2025-08-17,13:45,14:07,Delhi (DEL),B787,Air India,"('AI', 'Air India', 0.3)",825,847,22,13,6,True,Minor Delay,False,Domestic
AI5306,2025-08-17,09:15,09:51,Cochin (COK),B738,Air India,"('AI', 'Air India', 0.3)",555,591,36,9,6,True,Major Delay,True,Domestic
UK8953,2025-08-17,14:15,14:37,Delhi (DEL),A350,Vistara,"('UK', 'Vistara', 0.1)",855,877,22,14,6,True,Minor Delay,False,Domestic
SG8849,2025-08-17,23:00,23:00,Pune (PNQ),A321,SpiceJet,"('SG', 'SpiceJet', 0.12)",1380,1380,0,23,6,True,Early,False,Domestic
6E4598,2025-08-17,05:15,05:17,Goa (GOI),B787,IndiGo,"('6E', 'IndiGo', 0.4)",315,317,2,5,6,True,On Time,False,Domestic
6E9268,2025-08-17,16:30,16:30,Bengaluru (BLR),B737,IndiGo,"('6E', 'IndiGo', 0.4)",990,990,0,16,6,True,Early,False,Domestic
AI2186,2025-08-17,16:30,16:34,Bengaluru (BLR),B787,Air India,"('AI', 'Air India', 0.3)",990,994,4,16,6,True,On Time,False,Domestic
AI1130,2025-08-17,06:45,07:15,Pune (PNQ),A321,Air India,"('AI', 'Air India', 0.3)",405,435,30,6,6,True,Minor Delay,True,Domestic
6E5745,2025-08-17,08:45,09:17,Bengaluru (BLR),B787,IndiGo,"('6E', 'IndiGo', 0.4)",525,557,32,8,6,True,Major Delay,True,Domestic
6E8508,2025-08-17,09:45,09:45,Chennai (MAA),B787,IndiGo,"('6E', 'IndiGo', 0.4)",585,585,0,9,6,True,Early,True,Domestic
IX8267,2025-08-17,21:00,21:03,Chennai (MAA),B737,Air India Express,"('IX', 'Air India Express', 0.05)",1260,1263,3,21,6,True,On Time,False,Domestic
AI4317,2025-08-17,17:15,17:53,Jaipur (JAI),B777,Air India,"('AI', 'Air India', 0.3)",1035,1073,38,17,6,True,Major Delay,True,Domestic
SG8110,2025-08-17,23:00,23:15,Ahmedabad (AMD),ATR72,SpiceJet,"('SG', 'SpiceJet', 0.12)",1380,1395,15,23,6,True,On Time,False,Domestic
AI3399,2025-08-17,11:30,11:40,Delhi (DEL),B738,Air India,"('AI', 'Air India', 0.3)",690,700,10,11,6,True,On Time,False,Domestic
6E9828,2025-08-17,16:45,17:01,Cochin (COK),A350,IndiGo,"('6E', 'IndiGo', 0.4)",1005,1021,16,16,6,True,Minor Delay,False,Domestic
6E3561,2025-08-17,17:00,17:15,Chennai (MAA),B737,IndiGo,"('6E', 'IndiGo', 0.4)",1020,1035,15,17,6,True,On Time,True,Domestic
AI9347,2025-08-17,19:15,20:03,Bengaluru (BLR),A350,Air India,"('AI', 'Air India', 0.3)",1155,1203,48,19,6,True,Major Delay,True,Domestic
AI7930,2025-08-17,22:30,22:58,Chennai (MAA),B737,Air India,"('AI', 'Air India', 0.3)",1350,1378,28,22,6,True,Minor Delay,False,Domestic
AI2492,2025-08-17,18:00,18:20,Pune (PNQ),B787,Air India,"('AI', 'Air India', 0.3)",1080,1100,20,18,6,True,Minor Delay,True,Domestic
6E7582,2025-08-17,09:00,09:22,Bengaluru (BLR),B787,IndiGo,"('6E', 'IndiGo', 0.4)",540,562,22,9,6,True,Minor Delay,True,Domestic
AI8165,2025-08-17,14:00,14:20,Singapore (SIN),A321,Air India,"('AI', 'Air India', 0.3)",840,860,20,14,6,True,Minor Delay,False,International
6E7031,2025-08-17,20:15,20:39,Bengaluru (BLR),ATR72,IndiGo,"('6E', 'IndiGo', 0.4)",1215,1239,24,20,6,True,Minor Delay,True,Domestic
6E2917,2025-08-17,18:45,19:04,Delhi (DEL),A321,IndiGo,"('6E', 'IndiGo', 0.4)",1125,1144,19,18,6,True,Minor Delay,True,Domestic
AI5543,2025-08-17,16:00,16:00,Cochin (COK),A321,Air India,"('AI', 'Air India', 0.3)",960,960,0,16,6,True,Early,False,Domestic
6E4849,2025-08-17,14:45,15:02,Pune (PNQ),ATR72,IndiGo,"('6E', 'IndiGo', 0.4)",885,902,17,14,6,True,Minor Delay,False,Domestic
6E7876,2025-08-17,09:15,09:22,Delhi (DEL),B738,IndiGo,"('6E', 'IndiGo', 0.4)",555,562,7,9,6,True,On Time,True,Domestic
AI4062,2025-08-17,09:15,09:43,Hyderabad (HYD),B787,Air India,"('AI', 'Air India', 0.3)",555,583,28,9,6,True,Minor Delay,True,Domestic
6E4530,2025-08-17,10:00,10:03,Bengaluru (BLR),A320,IndiGo,"('6E', 'IndiGo', 0.4)",600,603,3,10,6,True,On Time,False,Domestic
AI3013,2025-08-17,13:30,13:49,Chennai (MAA),B787,Air India,"('AI', 'Air India', 0.3)",810,829,19,13,6,True,Minor Delay,False,Domestic
6E2330,2025-08-17,11:45,11:55,Jaipur (JAI),B777,IndiGo,"('6E', 'IndiGo', 0.4)",705,715,10,11,6,True,On Time,False,Domestic
AI2893,2025-08-17,16:00,16:00,Singapore (SIN),B737,Air India,"('AI', 'Air India', 0.3)",960,960,0,16,6,True,Early,False,International
QP7419,2025-08-17,22:15,22:35,Delhi (DEL),B777,Akasa Air,"('QP', 'Akasa Air', 0.03)",1335,1355,20,22,6,True,Minor Delay,False,Domestic
AI5858,2025-08-17,07:00,07:31,Delhi (DEL),ATR72,Air India,"('AI', 'Air India', 0.3)",420,451,31,7,6,True,Major Delay,True,Domestic
6E1324,2025-08-17,23:30,23:55,Delhi (DEL),B777,IndiGo,"('6E', 'IndiGo', 0.4)",1410,1435,25,23,6,True,Minor Delay,False,Domestic
6E6018,2025-08-17,15:00,15:32,Goa (GOI),A320,IndiGo,"('6E', 'IndiGo', 0.4)",900,932,32,15,6,True,Major Delay,False,Domestic
6E3785,2025-08-17,12:15,12:26,Pune (PNQ),B787,IndiGo,"('6E', 'IndiGo', 0.4)",735,746,11,12,6,True,On Time,False,Domestic
AI1992,2025-08-17,13:45,13:45,Bangkok (BKK),B787,Air India,"('AI', 'Air India', 0.3)",825,825,0,13,6,True,Early,False,International
6E6512,2025-08-17,16:45,16:46,Pune (PNQ),A321,IndiGo,"('6E', 'IndiGo', 0.4)",1005,1006,1,16,6,True,On Time,False,Domestic
AI1994,2025-08-17,09:30,10:10,Hyderabad (HYD),A321,Air India,"('AI', 'Air India', 0.3)",570,610,40,9,6,True,Major Delay,True,Domestic
6E9193,2025-08-17,21:00,21:13,Delhi (DEL),ATR72,IndiGo,"('6E', 'IndiGo', 0.4)",1260,1273,13,21,6,True,On Time,False,Domestic
UK3658,2025-08-17,13:00,13:03,Chennai (MAA),ATR72,Vistara,"('UK', 'Vistara', 0.1)",780,783,3,13,6,True,On Time,False,Domestic
AI5608,2025-08-17,06:15,07:00,Kolkata (CCU),ATR72,Air India,"('AI', 'Air India', 0.3)",375,420,45,6,6,True,Major Delay,True,Domestic
AI1228,2025-08-17,09:15,09:41,Hyderabad (HYD),B787,Air India,"('AI', 'Air India', 0.3)",555,581,26,9,6,True,Minor Delay,True,Domestic
AI4456,2025-08-17,08:15,08:23,Hyderabad (HYD),A350,Air India,"('AI', 'Air India', 0.3)",495,503,8,8,6,True,On Time,True,Domestic
6E9791,2025-08-17,18:00,18:00,Bengaluru (BLR),A321,IndiGo,"('6E', 'IndiGo', 0.4)",1080,1080,0,18,6,True,Early,True,Domestic
AI7286,2025-08-17,09:30,10:00,Chennai (MAA),B777,Air India,"('AI', 'Air India', 0.3)",570,600,30,9,6,True,Minor Delay,True,Domestic
SG1105,2025-08-17,07:15,07:41,Cochin (COK),B787,SpiceJet,"('SG', 'SpiceJet', 0.12)",435,461,26,7,6,True,Minor Delay,True,Domestic
AI2620,2025-08-17,09:30,10:00,Kolkata (CCU),A321,Air India,"('AI', 'Air India', 0.3)",570,600,30,9,6,True,Minor Delay,True,Domestic
AI4363,2025-08-17,18:45,19:44,Delhi (DEL),B737,Air India,"('AI', 'Air India', 0.3)",1125,1184,59,18,6,True,Major Delay,True,Domestic
6E2709,2025-08-18,12:00,12:07,Delhi (DEL),B738,IndiGo,"('6E', 'IndiGo', 0.4)",720,727,7,12,0,False,On Time,False,Domestic
AI5525,2025-08-18,08:45,09:08,Delhi (DEL),ATR72,Air India,"('AI', 'Air India', 0.3)",525,548,23,8,0,False,Minor Delay,True,Domestic
6E2212,2025-08-18,08:45,09:14,Delhi (DEL),B738,IndiGo,"('6E', 'IndiGo', 0.4)",525,554,29,8,0,False,Minor Delay,True,Domestic
6E1260,2025-08-18,13:30,13:49,Delhi (DEL),A350,IndiGo,"('6E', 'IndiGo', 0.4)",810,829,19,13,0,False,Minor Delay,False,Domestic
AI6852,2025-08-18,10:15,10:15,Kolkata (CCU),A350,Air India,"('AI', 'Air India', 0.3)",615,615,0,10,0,False,Early,False,Domestic
6E2022,2025-08-18,06:00,06:28,Ahmedabad (AMD),ATR72,IndiGo,"('6E', 'IndiGo', 0.4)",360,388,28,6,0,False,Minor Delay,True,Domestic
SG1545,2025-08-18,20:30,20:30,Hyderabad (HYD),B777,SpiceJet,"('SG', 'SpiceJet', 0.12)",1230,1230,0,20,0,False,Early,True,Domestic
AI1832,2025-08-18,09:45,10:25,Singapore (SIN),B787,Air India,"('AI', 'Air India', 0.3)",585,625,40,9,0,False,Major Delay,True,International
6E8728,2025-08-18,22:45,23:04,Delhi (DEL),A350,IndiGo,"('6E', 'IndiGo', 0.4)",1365,1384,19,22,0,False,Minor Delay,False,Domestic
AI5849,2025-08-18,12:30,12:30,Ahmedabad (AMD),A320,Air India,"('AI', 'Air India', 0.3)",750,750,0,12,0,False,Early,False,Domestic
